,compound,date,neg,neu,pos
216,0.57912,2016-11-17,0.0636,0.8309999999999998,0.10539999999999998
217,0.8997999999999999,2017-03-23,0.05566666666666667,0.8626666666666667,0.08166666666666667
218,0.9995,2017-03-30,0.076,0.748,0.17600000000000002
219,-0.7584,2016-04-14,0.053,0.899,0.047
220,0.9963,2016-08-30,0.047,0.825,0.128
221,0.87485,2017-05-11,0.07050000000000001,0.8280000000000001,0.101
222,0.9957,2016-06-30,0.076,0.8170000000000001,0.107
223,0.6407250000000001,2016-12-08,0.062,0.82625,0.11174999999999999
224,-0.9999,2017-04-14,0.14400000000000002,0.7659999999999999,0.09
225,0.79945,2016-01-10,0.109,0.7675000000000001,0.124
226,-0.4731000000000001,2016-01-04,0.0864,0.8364,0.07720000000000002
227,0.3789,2016-10-28,0.09300000000000001,0.8170000000000001,0.09
228,0.9883249999999999,2017-03-10,0.04375,0.81825,0.13799999999999998
229,-0.006349999999999967,2017-06-05,0.1135,0.797,0.0895
230,0.9979,2016-09-08,0.059000000000000004,0.8190000000000001,0.122
231,0.742,2016-03-16,0.044000000000000004,0.904,0.052000000000000005
232,0.900075,2017-03-08,0.028499999999999998,0.86775,0.10375
233,0.9742,2016-02-14,0.106,0.763,0.132
234,0.8094750000000001,2017-03-14,0.0605,0.83225,0.10725000000000001
235,-0.8566333333333334,2017-01-16,0.082,0.8566666666666668,0.061
236,0.9882,2016-12-12,0.04733333333333334,0.8293333333333334,0.12300000000000001
237,0.9732,2016-05-21,0.08,0.818,0.102
238,0.8847,2016-12-27,0.068,0.841,0.091
239,0.003475000000000006,2016-03-07,0.06075,0.85225,0.08725
240,0.2999,2016-10-13,0.09866666666666668,0.7996666666666666,0.10166666666666668
241,,2017-02-24,,,
242,0.9900500000000001,2017-04-26,0.076,0.8,0.1235
243,0.8632333333333332,2016-12-22,0.048666666666666664,0.855,0.09633333333333333
244,0.6523,2017-05-30,0.057999999999999996,0.885,0.057
245,0.31260000000000004,2016-06-27,0.07466666666666667,0.8470000000000001,0.07866666666666666
246,-0.907,2016-01-06,0.11599999999999999,0.7829999999999999,0.1
247,0.8944,2016-08-16,0.045,0.8909999999999999,0.065
248,0.1646,2016-08-18,0.105,0.774,0.121
249,0.9954,2016-08-24,0.076,0.769,0.155
250,0.006350000000000022,2016-11-30,0.0665,0.8685,0.065
251,0.8855,2017-06-09,0.036000000000000004,0.907,0.057
252,0.867,2017-04-13,0.07050000000000001,0.834,0.0955
253,0.8112,2016-03-14,0.081,0.825,0.094
254,0.9967,2016-06-14,0.09,0.784,0.126
255,0.9995,2016-09-29,0.035,0.8740000000000001,0.092
256,0.75175,2016-03-24,0.034,0.909,0.057499999999999996
257,-0.8602,2017-04-06,0.07400000000000001,0.862,0.064
258,0.9477333333333333,2016-11-24,0.04883333333333334,0.8616666666666667,0.08966666666666667
259,-0.29986666666666667,2017-04-24,0.06699999999999999,0.8513333333333334,0.082
260,-0.9056,2016-08-29,0.099,0.8170000000000001,0.085
261,-0.9998,2017-03-17,0.084,0.862,0.054000000000000006
262,0.9842333333333334,2017-05-01,0.04,0.8426666666666667,0.11733333333333333
263,0.9578,2016-11-16,0.055999999999999994,0.8605,0.083
264,0.98195,2016-11-02,0.038,0.8775,0.08499999999999999
265,0.03959999999999997,2017-01-20,0.056,0.8815,0.0625
266,0.9986,2016-08-07,0.06,0.753,0.187
267,0.99135,2016-02-26,0.0395,0.8514999999999999,0.109
268,0.27284444444444444,2016-10-14,0.07944444444444446,0.8287777777777777,0.09177777777777779
269,0.9637,2016-03-27,0.025,0.914,0.061
270,,2017-01-11,,,
271,0.9716,2017-06-21,0.0395,0.8545,0.10650000000000001
272,0.9618,2016-10-23,0.04,0.8590000000000001,0.1
273,0.9967,2017-03-01,0.021,0.836,0.14300000000000002
274,0.9783,2016-10-27,0.051,0.858,0.091
275,0.6024800000000001,2016-10-21,0.052000000000000005,0.8507999999999999,0.097
276,0.006900000000000017,2017-06-01,0.089,0.776,0.135
277,-0.9774,2017-04-21,0.10300000000000001,0.851,0.046
278,0.3719666666666666,2016-09-14,0.063,0.839,0.09833333333333333
279,0.3107666666666667,2017-03-29,0.06733333333333334,0.8433333333333334,0.08966666666666667
280,0.7956,2017-06-30,0.085,0.8220000000000001,0.09300000000000001
281,0.9958,2016-07-05,0.085,0.7979999999999999,0.11699999999999999
282,0.8058,2015-10-22,0.061,0.868,0.071
283,-0.9968,2016-08-17,0.14800000000000002,0.7609999999999999,0.091
284,0.9760500000000001,2016-06-23,0.029000000000000005,0.876,0.095
285,0.75055,2016-06-02,0.05499999999999999,0.8614999999999999,0.083
286,0.9823,2016-04-15,0.052000000000000005,0.8354999999999999,0.1125
287,-0.9239,2016-01-16,0.081,0.877,0.042
288,0.9329999999999999,2016-02-02,0.081,0.821,0.098
289,0.06320000000000003,2016-03-15,0.078,0.818,0.10450000000000001
290,0.5711333333333334,2016-04-03,0.033999999999999996,0.886,0.08
291,0.9506,2016-02-18,0.051500000000000004,0.8674999999999999,0.081
292,0.57024,2017-03-06,0.04360000000000001,0.8772,0.0794
293,-0.9840000000000001,2016-10-19,0.111,0.8059999999999999,0.084
294,-0.6984,2016-07-06,0.0945,0.8330000000000001,0.07350000000000001
295,0.33176666666666665,2016-09-16,0.06533333333333334,0.8330000000000001,0.10166666666666668
296,0.9788,2016-02-21,0.066,0.833,0.10099999999999999
297,,2016-05-16,,,
298,0.8396333333333333,2016-11-11,0.03866666666666666,0.846,0.11533333333333333
299,-0.13065,2016-01-21,0.07200000000000001,0.857,0.07100000000000001
300,-0.41695,2017-02-20,0.085,0.844,0.07100000000000001
301,0.99,2017-01-03,0.047,0.8440000000000001,0.109
302,0.5005000000000001,2017-02-16,0.09166666666666667,0.7933333333333333,0.11499999999999999
303,-0.138,2017-06-14,0.067,0.8715,0.0615
304,0.9708333333333333,2016-11-10,0.028666666666666663,0.8346666666666667,0.1366666666666667
305,0.7037,2016-09-10,0.09,0.81,0.10099999999999999
306,0.4275,2016-04-21,0.114,0.763,0.122
307,0.6584,2017-05-10,0.066,0.853,0.081
308,0.7794333333333333,2016-02-08,0.05266666666666667,0.8496666666666667,0.09733333333333334
309,,2016-07-13,,,
310,-0.8873,2017-04-05,0.062,0.892,0.046
311,0.9726,2016-08-06,0.021,0.846,0.133
312,0.9888199999999999,2016-11-18,0.042800000000000005,0.8596,0.0974
313,0.01789999999999997,2016-12-30,0.07200000000000001,0.857,0.07050000000000001
314,0.3956666666666666,2016-12-28,0.043000000000000003,0.878,0.07866666666666666
315,0.9974,2017-06-20,0.002,0.856,0.142
316,0.319,2017-02-28,0.050333333333333334,0.8639999999999999,0.08533333333333333
317,0.9024,2016-05-20,0.045,0.879,0.076
318,,2017-01-10,,,
319,0.5455,2016-11-25,0.0514,0.8593999999999999,0.0894
320,0.01655000000000001,2017-04-01,0.0955,0.7965,0.1085
321,0.9590666666666667,2016-12-20,0.09533333333333334,0.7673333333333333,0.137
322,0.8002,2016-07-11,0.059000000000000004,0.866,0.075
323,-0.8001,2017-06-22,0.109,0.7959999999999999,0.095
324,0.9933000000000001,2017-05-07,0.0725,0.7935000000000001,0.134
325,0.4590000000000001,2017-03-20,0.0395,0.863,0.098
326,0.932425,2016-12-06,0.03925,0.85,0.11075
327,0.45205,2017-03-07,0.049,0.8955,0.055499999999999994
328,0.9231,2016-03-06,0.051,0.863,0.086
329,0.98225,2016-01-27,0.044,0.8694999999999999,0.0865
330,0.9877,2016-03-28,0.047,0.861,0.092
331,0.855,2016-10-12,0.037000000000000005,0.9,0.064
332,,2017-04-17,,,
333,0.9817,2017-05-06,0.068,0.8240000000000001,0.10800000000000001
334,0.94818,2016-11-15,0.0402,0.8508000000000001,0.10900000000000001
335,-0.765,2017-05-26,0.08199999999999999,0.841,0.078
336,0.7905000000000001,2016-02-19,0.050333333333333334,0.8850000000000001,0.06466666666666666
337,0.9976,2017-06-03,0.034,0.83,0.136
338,0.19419999999999998,2016-04-01,0.083,0.8005,0.11649999999999999
339,0.9854499999999999,2016-01-22,0.063,0.8345,0.10300000000000001
340,-0.46955,2016-01-15,0.08950000000000001,0.8412499999999999,0.06925
341,0.03335000000000002,2017-05-17,0.07075000000000001,0.8467500000000001,0.08249999999999999
